Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
Fix Auth Refresh endpoint,TRT-1467,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/26 10:51,2021/09/09 11:33,2021/09/09 11:33,
create pull request,TRT-1445,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/07 09:28,2021/09/07 09:28,2021/09/07 09:28,
Call AskIT to unlockAccount,TRT-1443,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/06 15:18,2021/07/07 09:28,2021/07/07 09:28,
Incorporate ESlint rules into canvas,TRT-1439,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/01 16:05,2021/07/06 15:17,2021/07/06 15:17,
Get ESlint rules,TRT-1438,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/01 16:04,2021/07/01 16:05,2021/07/01 16:05,
Setup ES-lint rules. ,TRT-1390,Story,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/06/28 13:43,2021/07/06 15:17,2021/07/06 15:17,
Auth Error handling,TRT-1377,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/06/23 09:27,2021/07/07 09:28,2021/07/07 09:28,
Implementation assistance,TRT-1360,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/06/14 13:38,2021/07/20 09:27,2021/07/20 09:27,
UX design walk through,TRT-1359,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/06/14 13:37,2021/06/23 09:27,2021/06/23 09:27,
Help developers with onBoarding,TRT-1358,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/06/14 13:37,2021/06/21 09:09,2021/06/21 09:09,
Cater for dynamic data. ,TRT-1306,Sub-task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2021/05/17 13:55,2021/05/26 09:58,,
Updating the style. ,TRT-1305,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/05/17 13:51,2021/05/26 09:23,2021/05/26 09:23,
Ability to generate source. ,TRT-1304,Sub-task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2021/05/17 13:51,2021/09/02 07:48,,
Setting up property dock,TRT-1303,Sub-task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2021/05/17 13:51,2021/09/17 09:43,,
Position TextArea ,TRT-1281,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/05/04 07:29,2021/05/17 09:32,2021/05/10 15:29,
Get and Save TextArea Value,TRT-1280,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/05/04 07:25,2021/05/17 09:32,2021/05/09 20:40,
Hide text area,TRT-1279,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/05/04 07:23,2021/05/17 09:32,2021/05/04 14:05,
Unit Tests,TRT-1267,Sub-task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2021/04/19 09:40,2021/05/17 09:32,,
Pull Request,TRT-1266,Sub-task,To Do,Tesseract,61d439b0ce3652006ab7ce72,,2021/04/19 09:40,2021/05/19 13:47,,
Store table data on local storage,TRT-1234,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/25 11:44,2021/03/26 12:57,2021/03/26 12:57,
Refactor Table Component Code,TRT-1229,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/24 09:28,2021/03/25 09:24,2021/03/25 09:24,
Delete table row,TRT-1225,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/24 07:08,2021/09/16 13:04,2021/09/16 13:04,
Edit row,TRT-1224,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/24 07:08,2021/05/17 09:32,2021/05/04 07:20,
Add table column,TRT-1223,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/24 07:08,2021/05/19 13:30,2021/05/19 13:30,
Add table row,TRT-1222,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/24 07:07,2021/05/17 09:32,2021/05/17 08:58,
Update appBar Background,TRT-1221,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/23 11:22,2021/03/23 15:53,2021/03/23 15:53,
Update appBar image,TRT-1220,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/23 11:22,2021/03/23 15:53,2021/03/23 15:53,
Make a pull request,TRT-1201,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/09 21:17,2021/03/24 10:29,2021/03/24 10:29,
Create AppBar component,TRT-1200,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/09 21:17,2021/03/23 11:22,2021/03/23 11:22,
Fibre squad peer review,TRT-1199,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/09 21:14,2021/03/15 09:33,2021/03/15 09:33,
Profile squad peer review: Pull request,TRT-1198,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/09 21:13,2021/03/15 09:33,2021/03/15 09:33,
Create demo video for E-sim peer review,TRT-1197,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/03/09 21:12,2021/03/09 21:14,2021/03/09 21:14,
